maze_size,algorithm,pathfinding_time,visited_nodes,path_length
10,bfs,0.00018,64,13
10,dfs,6e-05,23,13
10,dijkstra,0.00017,99,13
10,astar,8e-05,30,13
20,bfs,0.00233,287,57
20,dfs,0.00226,227,57
20,dijkstra,0.00054,399,57
20,astar,0.00053,261,57
30,bfs,0.01302,847,60
30,dfs,0.00094,175,60
30,dijkstra,0.00087,899,60
30,astar,0.00062,476,60
40,bfs,0.00214,403,49
40,dfs,0.00853,680,49
40,dijkstra,0.00104,1599,49
40,astar,0.00026,280,49
50,bfs,0.00788,867,68
50,dfs,0.00031,123,68
50,dijkstra,0.00149,2499,68
50,astar,0.00039,495,68
60,bfs,0.08977,2802,227
60,dfs,0.15557,2995,227
60,dijkstra,0.00218,3599,227
60,astar,0.00182,2310,227
70,bfs,0.00757,846,65
70,dfs,0.00058,175,65
70,dijkstra,0.00347,4899,65
70,astar,0.00042,486,65
80,bfs,0.00102,303,28
80,dfs,0.0144,953,28
80,dijkstra,0.00386,6399,28
80,astar,0.00011,130,28
90,bfs,0.59004,7108,389
90,dfs,0.04144,1555,389
90,dijkstra,0.00543,8099,389
90,astar,0.00583,6817,389
100,bfs,0.08845,2786,96
100,dfs,1.5081,9383,96
100,dijkstra,0.00693,9999,96
100,astar,0.00085,1006,96
